Actual,Predicted
52700675.58682504,52606878.15990895
364159519.39658034,364156159.9374385
48172425.86631192,48160902.710368045
330652112.22367233,328420121.98866236
41762462.26595028,41787673.244251125
198599142.15384504,198601390.6147901
288288657.0833581,288284948.29573023
300051973.9825541,300050041.71801776
56643223.55935646,56446279.95288689
195163179.34126985,195207572.17046776
198856076.44568723,198844292.6069464
488169497.5023591,487946690.848559
157955335.50166625,157773060.0797296
761359082.0650048,761218312.477928
218587795.64802805,218884850.52134472
230080368.18905687,230113256.39225405
195690229.32191843,195680737.79876065
806957296.7821783,807223421.0835682
333780558.78227407,333783980.88530725
202962827.17990145,202960308.12140644
117314466.25015768,117312561.4889914
325413180.2158297,325417661.5830861
206767537.0463567,206767600.11612964
95687574.84720685,96143766.18029827
77672076.67533082,77773664.16922194
145393535.06838673,141821738.5290818
346119068.7490798,346109314.28436935
42158283.77580292,42157403.993604384
334946544.2500276,334963077.75532144
355763929.070497,355762331.9953354
98320414.9125164,98355706.91661085
101512962.99456374,101602376.40051064
213207330.3600178,213210781.8325821
196592398.4655748,196783067.40335128
898006875.7814319,896938831.4633374
483613661.9850333,483528038.33431214
431598496.8378418,431835063.74221534
345471567.13150764,345468415.83126974
372051143.8681389,372009412.29496473
66358893.9058421,66301728.26774284
422099144.2277703,422124133.89302987
125694069.65118884,125695962.33677803
406941365.0818564,406938173.37420136
389837935.0499964,389676595.3168619
407655694.0877253,407741669.27151227
42254965.12581122,42294100.80106061
674175991.9103355,674288077.2603395
818532825.6773806,818876654.1389194
111354488.76903668,111354901.48186621
51347997.04286453,51360002.56258923
241755387.0996628,241755522.73038977
412750931.1170048,412772412.3151807
46902201.62245415,46905259.58880613
387742735.64948726,387753793.96372366
328034369.0802431,328057905.4111483
100950322.1218161,100951435.58887346
1143994379.7885318,1143004438.4795105
154941293.68186802,154944824.46381882
399987213.0177581,400036861.19807506
550379765.141543,550403037.0132531
307875360.6262267,307436853.64585626
297454078.85860246,297752560.84682745
88568519.93046735,88579873.13591543
338835291.6364215,338889937.5802045
533982795.4533965,533916973.9506258
400806162.7342012,400816312.2105903
358520396.2902833,358534926.60075045
285804788.8073719,285651649.8212905
320582311.28924453,320677765.1397561
390735131.6683872,390741878.4727557
342941409.182064,342936472.9090725
229346555.74601203,229349484.79489854
434132905.98008114,433825171.7480595
61929754.20169741,61946255.65123636
543468676.3714322,543414013.1709282
346958220.3756523,346948838.22437143
854266796.3412871,853457459.0306306
363818863.64432967,363797913.18528885
1197015707.6921597,1196441164.437323
252618318.2490289,252715984.53328964
158137790.06749356,158127849.06269386
207194529.32004428,207190550.3030015
51870691.11404327,51784772.10056805
381248653.6991509,381249886.06313956
100768842.38082744,100764266.45234191
378607573.0188847,378519156.1367716
364151835.0838547,364076478.7448043
107731742.96273012,107730515.6813126
103087691.14764293,103202047.47027437
442581265.3536045,442574641.0615735
766759590.1446269,766343242.6695251
635954213.6424383,635378955.5368376
377948920.1070191,377878260.0606542
337645284.5361897,337643750.20444864
663679782.8187193,663241241.3074859
192213841.09694293,192562318.0770737
352867005.7482923,352831286.46203256
217865452.94136715,217855058.1680275
83065665.0550574,83049732.10423651
325382988.46937335,325138851.1751182
113868610.46792369,113864963.42161673
48732374.795238204,48738888.144575745
155447111.37254673,155668981.55774283
210228264.51531768,210228090.4030549
70041651.57129481,69897299.02783711
71049210.62221678,71184503.81836186
301715287.75166905,302172623.59749055
311521912.10228896,311524077.74184763
423502995.8155426,423523991.17790574
400516321.234594,400516409.5312284
75332822.22919767,75338941.98050563
49956594.98796295,49962397.857687734
92091335.44342744,91274559.61770457
250550058.38584137,250602761.21562442
263884985.7914042,263876820.81538227
307659789.1758384,307658285.35312045
655186262.3560077,655205238.7043676
636064722.7430823,636111070.491803
419842425.2512829,416958586.2845641
232428929.4895184,232451040.96466964
165610812.2210465,165468188.9876381
347978270.4712976,347978449.10520035
325975418.8871182,325925063.891644
379150938.72491646,379153698.5257614
404496146.1194757,404550456.83858114
193333557.38763145,193331622.93070805
679700715.9585685,679687195.9375206
